,P2 (50x50),P3 (25x25),P4 (13x13),P5 (7x7)
Crazing,0.24118094,0.25737503,0.24506706,0.2563769
Inclusion,0.23774794,0.25902322,0.24135265,0.26187617
Patches,0.24187562,0.26132578,0.24236867,0.25442985
Pitted surface,0.24009247,0.25806734,0.25091445,0.25092575
Rolled-in scale,0.24194752,0.26004884,0.24435957,0.2536441
Scratches,0.2442574,0.26426598,0.24372134,0.24775523
