,precision,recall,f1,support
Crazing,98.36065573770492,100.0,99.17355371900827,60.0
Inclusion,100.0,61.66666666666667,76.28865979381443,60.0
Patches,100.0,98.33333333333333,99.15966386554622,60.0
Pitted surface,75.9493670886076,100.0,86.33093525179856,60.0
Rolled-in scale,100.0,100.0,100.0,60.0
Scratches,93.75,100.0,96.7741935483871,60.0
