Model,Task,Init,Accuracy,Precision,Recall,F1,Params,MACs (M),Latency ms,CPU FPS,Train s
MobileNetV2,classification,ImageNet,80.69,70.11,67.56,67.8,2270794.0,299.9,47.77,21.3,325.0
ResNet50,classification,ImageNet,85.9,86.84,78.9,81.79,23608202.0,3865.2,378.99,3.6,2069.0
Proposed (full),classification,,76.79,75.56,63.96,65.19,,,,,
