Model,Params (total),Params (trainable),FLOPs (M),MACs (M),Size (MiB),CPU latency ms (median),CPU latency ms (p95),CPU FPS
MobileNetV2 (baseline),2423626,165386,615.27,307.64,9.25,67.31,86.87,14.9
MobileNetV2 + FPN,3196618,938378,3350.04,1675.02,12.19,143.33,173.4,7.0
Proposed (full),3364580,1104804,3376.4,1688.2,12.83,179.16,298.97,5.6
