,AP50,AP75,mAP50_95
punching_hole,0.0,0.0,0.0
welding_line,0.1,0.0,0.04
crescent_gap,0.0,0.0,0.0
water_spot,0.53,0.0,0.09
oil_spot,0.0,0.0,0.0
silk_spot,0.92,0.0,0.16
inclusion,0.0,0.0,0.0
rolled_pit,0.0,0.0,0.0
crease,0.0,0.0,0.0
waist_folding,16.66,1.26,4.81
