epoch,accuracy,loss,val_accuracy,val_loss
0,0.6414391994476318,1.1297045946121216,0.6883116960525513,1.4777477979660034
1,0.7586848735809326,0.7605862617492676,0.6883116960525513,1.1452912092208862
2,0.7996277809143066,0.6191830635070801,0.7705627679824829,0.7415183186531067
3,0.8256824016571045,0.5663658380508423,0.7186146974563599,0.9954201579093933
4,0.8374689817428589,0.512177586555481,0.8138527870178223,0.6629453897476196
5,0.8436724543571472,0.4502254128456116,0.8354978561401367,0.6098577976226807
6,0.8672456741333008,0.42532220482826233,0.8095238208770752,0.6114050149917603
7,0.8734491467475891,0.3913365304470062,0.8311688303947449,0.7013340592384338
8,0.8802729249000549,0.370190292596817,0.7878788113594055,0.7969337701797485
9,0.8858560919761658,0.3510417342185974,0.7705627679824829,0.9536809921264648
10,0.8945409655570984,0.3231455981731415,0.822510838508606,0.7821638584136963
11,0.9081885814666748,0.2935555577278137,0.826839804649353,0.743587076663971
12,0.9026054739952087,0.2833603024482727,0.8138527870178223,0.7401277422904968
13,0.9081885814666748,0.2697122395038605,0.8311688303947449,0.713578999042511
14,0.9094292521476746,0.27923065423965454,0.7922077775001526,0.9175925850868225
15,0.92555832862854,0.24021416902542114,0.8095238208770752,0.8278552889823914
0,0.809553325176239,0.555703341960907,0.6580086350440979,1.4179627895355225
1,0.8318858742713928,0.5081039071083069,0.7532467246055603,1.0044513940811157
2,0.8467742204666138,0.42022940516471863,0.761904776096344,0.7361191511154175
3,0.8815136551856995,0.3630487620830536,0.7792207598686218,0.8657950758934021
