epoch,accuracy,loss,val_accuracy,val_loss
0,0.5620347261428833,1.3667545318603516,0.6883116960525513,0.9389091730117798
1,0.7282878160476685,0.8634870052337646,0.7445887327194214,0.8067235350608826
2,0.7611662745475769,0.7518047094345093,0.7489177584648132,0.7687042951583862
3,0.7897022366523743,0.6564939618110657,0.7965368032455444,0.6851275563240051
4,0.805831253528595,0.6088601350784302,0.7965368032455444,0.697304904460907
5,0.8151364922523499,0.5439294576644897,0.822510838508606,0.6130131483078003
6,0.8343672752380371,0.5257116556167603,0.8008658289909363,0.6308122873306274
7,0.8517369627952576,0.4657955765724182,0.8311688303947449,0.6079091429710388
8,0.8436724543571472,0.4822812080383301,0.822510838508606,0.6208933591842651
9,0.8542183637619019,0.4623449742794037,0.7965368032455444,0.6197107434272766
10,0.8629032373428345,0.42137864232063293,0.8181818127632141,0.6015239953994751
11,0.8722084164619446,0.4068957567214966,0.8181818127632141,0.6039295196533203
12,0.8672456741333008,0.38796576857566833,0.822510838508606,0.608157217502594
13,0.8833746910095215,0.36204758286476135,0.8354978561401367,0.5988600850105286
14,0.8858560919761658,0.3470151424407959,0.8311688303947449,0.5817347764968872
15,0.8833746910095215,0.3377147912979126,0.8354978561401367,0.5945854783058167
16,0.8827543258666992,0.33691704273223877,0.8398268222808838,0.580232560634613
17,0.8846153616905212,0.33677443861961365,0.8441558480262756,0.5601055026054382
18,0.9063275456428528,0.31160783767700195,0.8441558480262756,0.5438898801803589
19,0.9001240730285645,0.31343522667884827,0.8484848737716675,0.545365035533905
20,0.9007444381713867,0.28819453716278076,0.8398268222808838,0.5783357620239258
21,0.9032257795333862,0.29718974232673645,0.8051947951316833,0.6595603227615356
22,0.9044665098190308,0.2826795279979706,0.8354978561401367,0.6037917137145996
23,0.905086874961853,0.27848175168037415,0.8398268222808838,0.6437022686004639
24,0.9063275456428528,0.2744326591491699,0.8311688303947449,0.5859589576721191
25,0.9168734550476074,0.23982807993888855,0.8441558480262756,0.608871579170227
26,0.921836256980896,0.24080057442188263,0.8441558480262756,0.6044073700904846
27,0.921836256980896,0.2390919178724289,0.826839804649353,0.6368336081504822
28,0.9187344908714294,0.23982477188110352,0.822510838508606,0.6378597617149353
29,0.9143920540809631,0.2571934461593628,0.8398268222808838,0.6270899176597595
0,0.8207195997238159,0.5393538475036621,0.701298713684082,1.1722815036773682
1,0.8455334901809692,0.4498980641365051,0.7748917937278748,0.8754646182060242
2,0.8684863448143005,0.3587208092212677,0.7878788113594055,0.8731772899627686
3,0.8660049438476562,0.39176860451698303,0.7705627679824829,0.7979653477668762
4,0.9001240730285645,0.2977272868156433,0.7705627679824829,0.8686960339546204
5,0.9075682163238525,0.28858035802841187,0.8138527870178223,0.6365312933921814
6,0.9075682163238525,0.27080729603767395,0.8311688303947449,0.5831446051597595
7,0.92555832862854,0.2290976196527481,0.8008658289909363,0.740527331829071
8,0.9224565625190735,0.23660920560359955,0.7922077775001526,0.7268891930580139
9,0.9168734550476074,0.23003891110420227,0.7965368032455444,0.6335942149162292
10,0.9367245435714722,0.20751124620437622,0.8484848737716675,0.6569476127624512
11,0.9454094171524048,0.17311452329158783,0.7878788113594055,0.9746382832527161
12,0.9330024719238281,0.19171246886253357,0.8398268222808838,0.5908341407775879
13,0.9584367275238037,0.14373774826526642,0.8008658289909363,0.7013617157936096
14,0.9497518539428711,0.14717425405979156,0.8008658289909363,0.7122356295585632
15,0.9578163623809814,0.14047858119010925,0.8571428656578064,0.5680014491081238
16,0.9671216011047363,0.11640593409538269,0.8614718317985535,0.6178500056266785
17,0.9652605652809143,0.12044977396726608,0.8484848737716675,0.5430347919464111
18,0.9658808708190918,0.11539974063634872,0.8614718317985535,0.5430915355682373
19,0.960918128490448,0.12661363184452057,0.8441558480262756,0.6211935877799988
20,0.9733250737190247,0.10340645909309387,0.8614718317985535,0.5777420401573181
21,0.9745657444000244,0.09145048260688782,0.8701298832893372,0.5337497591972351
22,0.9838709831237793,0.06446196883916855,0.8528138399124146,0.5594010949134827
23,0.975806474685669,0.08638613671064377,0.8095238208770752,0.8761112093925476
24,0.9658808708190918,0.10347677022218704,0.8095238208770752,1.0509284734725952
25,0.975806474685669,0.09180819243192673,0.8398268222808838,0.7705615758895874
26,0.9714640378952026,0.09426426142454147,0.7965368032455444,1.0550276041030884
27,0.9640198349952698,0.12090866267681122,0.8398268222808838,0.7280973196029663
28,0.9714640378952026,0.09575281292200089,0.8138527870178223,0.8312715888023376
29,0.9720843434333801,0.10222236812114716,0.8398268222808838,0.6082974672317505
